"id","Completed","Last page seen","Start language","Token","Date last action","Date started","IP address","0000","0001","0002","0003","0004","0005 [S05A1]","0005 [S05A2]","0005 [S05A3]","0005 [S05A4]","0005 [other]","0006","0007","0008","0009 [SQ1]","0009 [SQ2]","0009 [SQ3]","0009 [SQ4]","0009 [Ax]","0009 [other]","0010","0011 [SQ001]","0011 [SQ002]","0011 [SQ003]","0011 [SQ004]","0012","0012 [other]","0013","0014 [SQ001]","0014 [SQ002]","0014 [SQ003]","0014 [SQ004]","0014 [SQ005]","0015","0016 [SQ001]","0016 [SQ002]","0016 [SQ003]","0016 [SQ004]","0016 [SQ005]","0016 [SQ006]","0017","0018","0019 [SQ001]","0019 [SQ002]","0019 [SQ003]","0020","0021 [SQ001]","0021 [SQ002]","0021 [SQ003]","0021 [SQ004]","0021 [SQ005]","0021 [SQ006]","0021 [SQ007]","0021 [SQ008]","0021 [SQ009]","0022 [SQ001]","0022 [SQ002]","0022 [SQ003]","0022 [SQ004]","0022 [SQ005]","0022 [SQ006]","0022 [SQ007]","0022 [SQ008]","0022 [SQ009]","0023"
"25","","0","en","","2013-09-11 10:06:34","2013-09-11 10:06:34","213.118.98.102","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"26","2013-09-11 13:43:02","7","en","","2013-09-11 13:43:02","2013-09-11 13:36:53","91.183.61.159","Belgium","Female","26","Year 2","No","No","No","No","No","I will undertake training in psychotherapy, probably next year on my own initiative","","Yes","Yes","Yes","No","Yes","No","No","","","Yes","Uncertain","No","Uncertain","Yes","","different types: behavior, psychodynamic, system","4","0","0","0","0","","I pay","State / 3rd party pays","I don't have it","I don't have it","State / 3rd party pays","State / 3rd party pays","Yes","200","Disagree","Agree","Strongly Disagree","","No","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","Yes","No","Yes","No","No",""
"27","","5","en","","2013-09-11 17:20:42","2013-09-11 17:16:35","213.214.61.64","Belgium","Female","28","Year 4","No","No","No","Yes","No","","","I don't know","Yes","No","No","Yes","No","No","","","No","No","No","No","No","","systemic/family","0","0","0","0","0","","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","Yes","0","","","","","","","","","","","","","","","","","","","","","","",""
"29","2013-09-12 13:29:15","7","en","","2013-09-12 13:29:15","2013-09-12 13:15:18","81.82.43.67","Belgium","Male","25","Year 1","No","No","No","Yes","No","","","Yes","Yes","Yes","Yes","Yes","No","No","integrated psychotherapy","","Yes","No","No","No","Other","not mandatory part of training to psychiatrist, though highly advised to follow a full training in one of the psychotherapies during training.","Various, I do not have a complete list and work In several institutions","0","0","0","0","0","","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","Yes","0","Neutral","Agree","Strongly Disagree","","","","","","","","","","","No","","","","","","","","",""
"30","2013-09-13 13:32:00","7","en","","2013-09-13 13:32:00","2013-09-13 13:24:20","78.20.29.168","Belgium","Female","28","Year 3","No","No","Yes","No","No","","CBT","Yes","Yes","No","Yes","Yes","No","No","","","Yes","Uncertain","Yes","No","Yes","","CBT 
Family therapy","1","3","5","0","0","","I pay","I pay","I pay","I don't have it","State / 3rd party pays","I don't have it","Yes","9","Strongly Disagree","Strongly Agree","Strongly Disagree","","Yes","Uncertain","Uncertain","Yes","Uncertain","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Uncertain","Yes","Yes","Yes","No",""
"31","2013-09-15 19:12:41","7","en","","2013-09-15 19:12:41","2013-09-15 19:00:00","78.21.16.101","Belgium","Female","27","Year 2","Yes","No","Yes","No","No","","Integrative psychotherapy","Yes","Yes","No","Yes","Yes","No","No","","The psychotherapy formation is not adapted to the context of psychiatrist. A course, focussing on the combination of psychiatry and psychotherapy would be interesting.","Yes","No","No","No","No","","CBT, counselling, group psychotherapy, body-oriented psychotherapie, dialectic behavioural therapy, systemic therapy, interpersonal therapy","0","4","0","0","0","","I pay","I pay","I pay","I don't have it","I pay","I pay","Yes","10","Disagree","Agree","Neutral","","No","Yes","Uncertain","Uncertain","Yes","Yes","Yes","Yes","No","No","No","No","No","No","Uncertain","Uncertain","Uncertain","No",""
"32","2013-09-18 07:24:13","7","en","","2013-09-18 07:24:13","2013-09-18 07:20:17","213.224.51.10","Belgium","Female","29","Year 3","Yes","No","No","Yes","No","","","Yes","Yes","Yes","No","Yes","No","No","","","Yes","Yes","Yes","Yes","Unsure","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy, Family and Marital Therapy, Interpersonal Therapy, Counselling, Group Psychotherapy, Therapeutic Community, Body-oriented Psychotherapy, Existential Psychotherapy.","0","0","0","0","0","","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","Yes","1200","Neutral","Neutral","Neutral","","Uncertain","Yes","Yes","Uncertain","Yes","Yes","Yes","Yes","Uncertain","Uncertain","Uncertain","Uncertain","Uncertain","Uncertain","Uncertain","Uncertain","Uncertain","Uncertain",""
"33","2013-09-18 08:46:02","7","en","","2013-09-18 08:46:02","2013-09-18 08:36:51","81.83.9.110","Belgium","Female","34","Year 3","Yes","No","Yes","No","No","","integrative psychotherapy","Yes","Yes","Yes","Yes","Yes","Yes","No","","I think training in psychotherapy should be mandatory and included in psychiatric training. Costs for such a program are very high right now and it's time consuming and hence a difficult combi with psychiatric training.","No","No","No","No","Unsure","","mentalisation based treatment, CBT, DBT","1","1","0","0","0","","I pay","I pay","I pay","I don't have it","I don't have it","I pay","Yes","10","Disagree","Agree","Disagree","","No","Uncertain","No","Uncertain","No","No","Uncertain","Uncertain","Uncertain","No","No","No","No","No","No","No","No","No","time and money are the difficulties right now, since PT training is not incorporated in Psychiatric training, it would be so much better if it was!"
"34","2013-09-18 08:50:25","7","en","","2013-09-18 08:50:25","2013-09-18 08:45:55","178.117.68.175","Belgium","Male","27","Year 4","No","No","No","Yes","No","","","Yes","Yes","Yes","No","Yes","No","No","","","Yes","No","No","No","Yes","","CBT, Group Psychotherapy, psychodynamic","0","0","0","0","0","","I pay","I pay","I pay","I don't have it","State / 3rd party pays","State / 3rd party pays","Yes","10","Strongly Disagree","Agree","Disagree","","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No",""
"35","2013-09-18 09:09:21","7","en","","2013-09-18 09:09:21","2013-09-18 09:03:26","213.224.51.10","Belgium","Female","45","Year 1","No","No","No","Yes","No","","","Yes","Yes","Yes","Yes","Yes","Yes","No","","","Yes","Uncertain","No","Uncertain","Unsure","","At this moment I don't know.","4","0","1","1","5","","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","Yes","20","Agree","Agree","Agree","","","","","","","","","","","","","","","","","","","",""
"36","2013-09-18 09:51:40","7","en","","2013-09-18 09:51:40","2013-09-18 09:46:58","134.58.179.35","Belgium","Male","27","Year 3","No","No","No","Yes","No","","","Yes","Yes","No","Yes","No","No","No","","","Yes","Yes","Yes","No","Yes","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy, Family and Marital Therapy, Body-oriented Psychotherapy, Group Psychotherapy, Client centered therapy","0","0","0","0","0","","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","Yes","0","Agree","Agree","Strongly Disagree","","","","","","","","","","","","","","","","","","","",""
"37","2013-09-18 10:49:39","7","en","","2013-09-18 10:49:39","2013-09-18 10:45:13","213.224.51.10","Belgium","Female","26","Year 2","No","No","No","Yes","No","","","Yes","Yes","No","Yes","No","No","No","","","Yes","Yes","Yes","No","Unsure","","CGT / psychoanalysis / systeem / client centered","4","0","0","0","0","","State / 3rd party pays","I pay","I don't have it","I don't have it","I don't have it","I don't have it","Yes","5","Agree","Strongly Agree","Disagree","","Yes","Uncertain","","Yes","Yes","Yes","Uncertain","Yes","Yes","Yes","Yes","Uncertain","No","Yes","No","No","No","Uncertain",""
"38","2013-09-18 12:44:19","7","en","","2013-09-18 12:44:19","2013-09-18 12:40:38","134.58.179.35","Belgium","Male","31","Year 7","No","No","No","Yes","No","","","Yes","No","No","Yes","Yes","No","No","","","Yes","Yes","No","No","No","","cognitive, psychoanalitic, systemic, client-centered","0","0","0","0","0","","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","Yes","0","Neutral","Neutral","Neutral","","Yes","Yes","No","Yes","No","Yes","Uncertain","Uncertain","Uncertain","No","No","No","No","","Yes","No","No","No",""
"39","","2","en","","2013-09-22 21:04:31","2013-09-22 21:03:34","193.191.170.2","Belgium","Male","29","Year 3","No","No","No","Yes","No","","","I don't know","Yes","No","Yes","Yes","Yes","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"40","2013-10-05 12:01:41","7","en","","2013-10-05 12:01:41","2013-10-05 11:54:10","213.224.51.10","Belgium","Male","27","Year 2","No","No","No","Yes","No","","","Yes","Yes","No","Yes","No","No","No","","","Yes","Yes","Uncertain","Uncertain","Yes","","the types as described above","2","0","0","0","2","","I pay","State / 3rd party pays","I don't have it","I don't have it","State / 3rd party pays","State / 3rd party pays","Yes","8","Agree","Strongly Agree","Strongly Disagree","","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Uncertain","Yes","Uncertain","Uncertain","Yes","No","Uncertain",""
