"id","Completed","Last page seen","Start language","Token","Date last action","Date started","IP address","0000","0001","0002","0003","0004","0005 [S05A1]","0005 [S05A2]","0005 [S05A3]","0005 [S05A4]","0005 [other]","0006","0007","0008","0009 [SQ1]","0009 [SQ2]","0009 [SQ3]","0009 [SQ4]","0009 [Ax]","0009 [other]","0010","0011 [SQ001]","0011 [SQ002]","0011 [SQ003]","0011 [SQ004]","0012","0012 [other]","0013","0014 [SQ001]","0014 [SQ002]","0014 [SQ003]","0014 [SQ004]","0014 [SQ005]","0015","0016 [SQ001]","0016 [SQ002]","0016 [SQ003]","0016 [SQ004]","0016 [SQ005]","0016 [SQ006]","0017","0018","0019 [SQ001]","0019 [SQ002]","0019 [SQ003]","0020","0021 [SQ001]","0021 [SQ002]","0021 [SQ003]","0021 [SQ004]","0021 [SQ005]","0021 [SQ006]","0021 [SQ007]","0021 [SQ008]","0021 [SQ009]","0022 [SQ001]","0022 [SQ002]","0022 [SQ003]","0022 [SQ004]","0022 [SQ005]","0022 [SQ006]","0022 [SQ007]","0022 [SQ008]","0022 [SQ009]","0023"
"22","2013-09-06 08:11:26","7","en","","2013-09-06 08:11:26","2013-09-06 08:00:30","91.227.71.250","Israel","Male","35","Year 4","Yes","Yes","No","No","No","","long and short term dynamic oriented and CBT","Yes","Yes","Yes","No","Yes","Yes","No","DBT","","Yes","No","Yes","No","Yes","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy, Family and Marital Therapy,  Counselling,, Group Psychotherapy","4","2","0","0","0","","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","I don't have it","State / 3rd party pays","I pay","Yes","10","Neutral","Neutral","Disagree","","Yes","Uncertain","Uncertain","Uncertain","Uncertain","Uncertain","","","","","","","","","","","","",""
"23","","2","en","","2013-09-07 05:56:20","2013-09-07 05:49:20","77.125.165.111","Israel","Female","36","Year 6","Yes","Yes","No","No","No","","Psychodynamic psychotherapy","I don't know","No","No","No","No","No","Yes","","Psychodynamic psychotherapy","Yes","Yes","Yes","No","Yes","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"24","2013-09-09 11:49:52","7","en","","2013-09-09 11:49:52","2013-09-09 11:42:18","195.200.205.133","Israel","Female","34","Year 5","Yes","Yes","No","No","No","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy","Yes","Yes","Yes","No","No","No","No","","","Yes","Uncertain","Yes","Uncertain","No","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy, Group Psychotherapy","5","5","0","0","0","","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","I don't have it","I don't have it","I pay","Yes","0","Agree","Disagree","Disagree","","","","","","","","","","","","","","","","","","","",""
"25","2013-09-09 12:00:27","7","en","","2013-09-09 12:00:27","2013-09-09 11:48:55","194.114.146.227","Israel","Female","36","Year 5","Yes","Yes","No","No","No","","theoretic teaching, personal suprevision on psychotherapy cases
psychodynamic psychotherapy, cognitive behavioral therapy","Yes","Yes","Yes","No","No","No","No","","","Yes","No","Yes","No","Yes","","psychodynamic, CBT, body oriented, group","4","0","0","0","0","","State / 3rd party pays","State / 3rd party pays","I don't have it","I don't have it","State / 3rd party pays","I pay","Yes","0","Agree","Strongly Agree","Disagree","","Yes","Yes","No","No","No","Yes","Yes","Uncertain","No","Uncertain","Yes","No","No","Uncertain","Uncertain","Yes","Uncertain","No",""
"27","","0","en","","2013-09-09 12:27:32","2013-09-09 12:27:32","46.19.80.153","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"28","2013-09-09 13:54:27","7","en","","2013-09-09 13:54:27","2013-09-09 13:45:10","85.64.208.102","Israel","Male","36","Year 5","Yes","No","No","No","Yes","","completed full Cognitive Behavioural Therapy training
ndertaking training in Psychodynamic Psychotherapy","Yes","Yes","Yes","Yes","No","No","No","","","No","No","Yes","No","Yes","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy","2","1","0","0","0","","I don't have it","State / 3rd party pays","State / 3rd party pays","I don't have it","I don't have it","I pay","Yes","5","Disagree","Disagree","Strongly Disagree","","","","","","","","","","","","","","","","","","","",""
"29","","0","en","","2013-09-09 13:54:48","2013-09-09 13:54:48","85.64.208.102","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"30","2013-09-09 15:46:30","7","en","","2013-09-09 15:46:30","2013-09-09 15:22:19","46.120.160.182","Israel","Male","36","Year 5","Yes","Yes","No","No","No","","Psychodynamic psychotherapy","Yes","Yes","Yes","Yes","No","No","No","","","Yes","No","Yes","No","No","","Cbt, psychodynamic psychotherapy, family therapy, group therapy, body oriented therapy","6","4","4","0","0","","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","I don't have it","State / 3rd party pays","I pay","Yes","0","Disagree","Disagree","Disagree","","","","","","","","","","","","","","","","","","","","This is an important survey. It is a shame that it includes quite a few typos."
"31","2013-09-09 19:24:43","7","en","","2013-09-09 19:24:43","2013-09-09 18:58:56","109.64.227.67","Israel","Female","33","Year 4","Yes","Yes","No","No","No","","I have always received, as have all residents in the establishment where i work, personal guide who is either a ckinical psychologist or a senior psychiatrist who also graduated the psychotherapy programme at university (/of 2 years).
guidance for cbt Less organized .  depends on residents' initiative
also, once or twice a week - a course for all residents","Yes","No","Yes","No","No","No","No","","Important to be familiar with the concepts, the conceptualizations of psychopathology, processes that occur in the therapeutic relationship.relevant to keep in mind not only in psychotherapeutic work.","Yes","No","Yes","No","Yes","","Dynamic, cbt, family, group","3","0","2","2","0","","I pay","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","Yes","0.5","Agree","Agree","Strongly Agree","","No","","","","","","","","","Uncertain","Uncertain","No","Yes","Yes","Yes","Yes","Yes","Yes",""
"32","2013-09-09 19:53:14","7","en","","2013-09-09 19:53:14","2013-09-09 19:42:17","82.102.141.252","Israel","Female","33","Year 3","Yes","Yes","No","No","No","","play therapy, psychodynamic","Yes","Yes","Yes","No","Yes","Yes","No","play therpy","","Yes","Uncertain","Yes","Yes","Unsure","","psychodynmic, CBT, famil and marital, group","4","0","3","3","0","","I pay","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","I pay","I pay","Yes","10","Disagree","Neutral","Strongly Disagree","","","","","","","","","","","","","","","","","","","",""
"33","2013-09-09 21:47:15","7","en","","2013-09-09 21:47:15","2013-09-09 21:35:45","213.57.229.110","Israel","Female","35","I have recently finished training (within last 5 years)","Yes","No","No","No","Yes","","psychoanalytic oriented psychotherapy (psychodynamic)","Yes","Yes","Yes","Yes","No","No","No","","","Yes","No","Yes","No","Yes","","psychodynamic psychotherapy, Family therapy, group therapy, cbt","6","0","6","0","0","","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","I don't have it","I don't have it","I pay","Yes","10","Agree","Agree","Disagree","","Yes","Yes","No","Uncertain","Uncertain","No","Uncertain","No","No","Yes","Yes","Yes","Yes","No","No","Yes","No","No",""
"34","2013-09-10 06:23:40","7","en","","2013-09-10 06:23:40","2013-09-10 06:04:07","2.55.133.151","Israel","Male","35","Year 3","No","Yes","Yes","No","No","","Psychdynamic psychotherapy, cbt","Yes","Yes","Yes","Yes","No","No","No","Mindfulness","","Yes","Uncertain","Yes","No","Unsure","","Psychodynamic, cbt, group, dbt, family","4","0","8","0","0","","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","I don't have it","State / 3rd party pays","I pay","Yes","5","Agree","Agree","Neutral","","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Uncertain","Yes","Yes","Uncertain","Yes","Uncertain",""
"35","2013-09-10 11:42:44","7","en","","2013-09-10 11:42:44","2013-09-10 11:31:59","77.126.69.61","Israel","Female","35","Year 4","Yes","Yes","No","No","No","","as part of the hospital residency, i was treating a patient for 2 years, under supervision of a psychotherapist from the senior hospital staff. it was a psychodynamic psychotherapy.","Yes","Yes","Yes","Yes","No","No","No","","","Yes","No","Yes","No","Unsure","","psychodynamic, CBT, family/marital treatments, group therapy. not sure about other types.","5","0","0","0","0","","I don't have it","State / 3rd party pays","I don't have it","I don't have it","State / 3rd party pays","I pay","Yes","0","Agree","Agree","Disagree","","","","","","","","","","","","","","","","","","","",""
"36","","3","en","","2013-09-11 07:06:03","2013-09-11 06:58:43","95.35.60.90","Israel","Female","35","Year 3","Yes","Yes","No","No","No","","Dynamic","Yes","Yes","Yes","No","Yes","No","No","","","Yes","No","Yes","Yes","Unsure","","Psychodynamic,  group ,CBT","4","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"37","2013-09-11 13:22:44","7","en","","2013-09-11 13:22:44","2013-09-11 13:16:01","194.114.146.227","Israel","Female","34","Year 5","Yes","Yes","Yes","No","No","","I am being trained as a dynamic psychotherapist at the Tel Aviv University for Psychotherapy","Yes","Yes","Yes","No","No","No","No","","","No","No","Yes","No","Yes","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy, Family and Marital Therapy, Group Psychotherapy","6","6","8","0","0","","I pay","I pay","I pay","I don't have it","State / 3rd party pays","I pay","Yes","20","Disagree","Agree","Strongly Disagree","","","","","","","","","","","","","","","","","","","",""
"38","","0","en","","2013-09-11 14:59:47","2013-09-11 14:59:47","87.68.47.93","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"39","","0","en","","2013-09-11 16:49:19","2013-09-11 16:48:34","79.182.121.108","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"40","2013-09-12 19:37:51","7","en","","2013-09-12 19:37:51","2013-09-12 19:28:56","84.229.120.64","Israel","Female","37","Year 6","Yes","Yes","No","No","Yes","","Psychotherapy program, Sackler faculty of medicine, TA university","Yes","Yes","Yes","No","No","No","No","","","Yes","Uncertain","Yes","Yes","Yes","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy, Family  Therapy","5","0","5","0","0","","I pay","I pay","State / 3rd party pays","I don't have it","State / 3rd party pays","I pay","Yes","10","Neutral","Strongly Agree","Strongly Agree","","","","","","","","","","","","","","","","","","","",""
"41","","0","en","","2013-09-14 21:35:57","2013-09-14 21:35:57","62.90.3.102","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"42","","0","en","","2013-09-16 10:32:53","2013-09-16 10:32:53","46.19.80.13","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"43","2013-09-16 22:32:48","7","en","","2013-09-16 22:32:48","2013-09-16 22:22:24","77.127.227.62","Israel","Female","38","Year 3","No","Yes","No","No","No","","Psychodynamic psychotherapy","Yes","Yes","Yes","No","No","Yes","No","","","No","Yes","Yes","No","Yes","","All of the options","4","0","1","9","0","","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","I don't have it","State / 3rd party pays","I don't have it","Yes","0","Agree","Strongly Agree","Disagree","","","","","","","","","","","","","","","","","","","",""
"44","","0","en","","2013-09-17 05:25:01","2013-09-17 05:25:01","194.114.146.227","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"45","2013-09-17 06:13:34","7","en","","2013-09-17 06:13:34","2013-09-17 06:07:43","194.114.146.227","Israel","Male","40","More than 8 years in training","Yes","No","No","No","Yes","","Mainly Psychodynamic psychotherapy. In addition, I have been trained in CBT","Yes","Yes","Yes","Yes","No","No","No","","","Yes","Yes","Yes","Yes","Yes","","CBT, Psychodynamic, Family therapy, IPT, counselling","6","4","2","0","2","","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","I don't have it","State / 3rd party pays","State / 3rd party pays","Yes","5","Agree","Agree","Agree","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes",""
"46","","0","en","","2013-09-17 06:14:41","2013-09-17 06:14:41","79.180.129.164","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"47","2013-09-17 06:32:41","7","en","","2013-09-17 06:32:41","2013-09-17 06:23:32","82.102.141.252","Israel","Female","38","Year 8","Yes","No","No","Yes","No","","","Yes","Yes","No","Yes","No","No","No","","","Yes","No","Yes","Yes","No","","psychodynamic
group
cbt
dbt","4","1","0","0","0","","State / 3rd party pays","State / 3rd party pays","I don't have it","I don't have it","State / 3rd party pays","I pay","Yes","0","Disagree","Neutral","Neutral","","","","","","","","","","","","","","","","","","","",""
"48","2013-09-17 06:44:29","7","en","","2013-09-17 06:44:29","2013-09-17 06:37:47","194.114.146.227","Israel","Male","38","Year 4","No","Yes","No","No","No","","Psychodynamic Psychotherapy","No","No","No","Yes","No","No","No","","","Yes","Uncertain","Uncertain","No","Yes","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy","4","2","2","0","0","","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","I don't have it","State / 3rd party pays","I don't have it","No","0","Neutral","Disagree","Neutral","","","","","","","","","","","","","","","","","","","",""
"49","2013-09-17 07:03:53","7","en","","2013-09-17 07:03:53","2013-09-17 06:53:40","194.114.146.227","Israel","Male","34","Year 2","No","Yes","No","No","No","","my training includes personal guidance once a week, i am treating one patient with that midality and my teaching in my program of training includes many topics about it","Yes","Yes","Yes","Yes","No","Yes","No","","in all these fields including subtype of CBT, meanning PE I am using in my training","Yes","No","Yes","Uncertain","Yes","","psuchodynamic, CBT, PE, supportive, crisis intervention, less family","4","1","2","0","0","","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","I don't have it","State / 3rd party pays","I don't have it","Yes","0","Strongly Agree","Strongly Agree","Neutral","","","","","","","","","","","","","","","","","","","",""
"50","","4","en","","2013-09-17 09:41:17","2013-09-17 09:36:29","194.114.146.227","Israel","Female","40","I have recently finished training (within last 5 years)","Yes","No","No","Yes","No","","","Yes","Yes","No","Yes","Yes","No","No","","","Uncertain","No","Yes","Uncertain","Yes","","cbt
dynamic","1","0","0","0","0","","","I don't have it","","","","","Yes","","","","","","","","","","","","","","","","","","","","","","","",""
"51","","3","en","","2013-09-17 14:35:08","2013-09-17 14:31:20","195.200.205.71","Israel","Female","36","Year 1","Yes","No","No","No","No","starting next year","","I don't know","Yes","Yes","Yes","Yes","No","No","","","No","No","Yes","No","Unsure","","all those mentioned above","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"52","2013-09-18 13:36:07","7","en","","2013-09-18 13:36:07","2013-09-18 13:19:13","85.65.70.6","Israel","Female","42","More than 8 years in training","No","Yes","No","No","No","","Psychodynamic long and short psychotherapy. Group Psychotherapy. Therapeutic Community.","Yes","Yes","Yes","Yes","Yes","Yes","No","","","Yes","Yes","Yes","Yes","Yes","","Crisis intervention, psychodynamic psychotherapia,counsselling.","10","9","2","3","4","Role play","I pay","I pay","I pay","I pay","I pay","I pay","Yes","1","Agree","Neutral","Neutral","","Yes","Yes","Yes","Yes","Yes","Uncertain","Yes","Uncertain","Uncertain","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes",""
"53","2013-09-22 05:08:40","7","en","","2013-09-22 05:08:40","2013-09-22 05:02:59","194.114.146.227","Israel","Male","36","Year 3","Yes","No","No","Yes","No","","","Yes","Yes","Yes","Yes","No","No","No","","","Uncertain","Uncertain","Yes","Uncertain","Yes","","Dynamic
CBT","5","0","0","0","0","","I don't have it","State / 3rd party pays","I don't have it","I don't have it","State / 3rd party pays","I don't have it","Yes","0","Agree","Agree","Agree","","","","","","","","","","","","","","","","","","","",""
"55","","0","en","","2013-09-24 17:20:37","2013-09-24 17:20:37","95.35.55.118","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
